天津,FBCEC38ABFEF9032473961A60D96FB68,蔬菜,3D24751164F3FDCE599624894D5D11EB,\N,\N,\N,\N,0,1.5,0,2016-07-18 15:34:18,2012-09-05
天津,FBCEC38ABFEF9032473961A60D96FB68,蔬菜,3D24751164F3FDCE599624894D5D11EB,\N,\N,\N,\N,0,1.5,0,2016-07-18 15:34:18,2012-09-06
天津,FBCEC38ABFEF9032473961A60D96FB68,蔬菜,3D24751164F3FDCE599624894D5D11EB,\N,\N,\N,\N,0,1.5,0,2016-07-18 15:34:18,2012-09-11
天津,FBCEC38ABFEF9032473961A60D96FB68,蔬菜,3D24751164F3FDCE599624894D5D11EB,\N,\N,\N,\N,0,1.5,0,2016-07-18 15:34:18,2013-07-05
山东,415D4028900B9ACBCD4C4EA769CCD6DB,蔬菜,9ABEF08FA486088B478D942B2E25CBF6,\N,\N,\N,\N,0,6,0,2016-07-18 15:34:18,2014-11-27
山东,415D4028900B9ACBCD4C4EA769CCD6DB,蔬菜,9ABEF08FA486088B478D942B2E25CBF6,\N,\N,\N,\N,0,6,0,2016-07-18 15:34:18,2014-11-28
山东,415D4028900B9ACBCD4C4EA769CCD6DB,蔬菜,9ABEF08FA486088B478D942B2E25CBF6,\N,\N,\N,\N,0,6,0,2016-07-18 15:34:18,2014-12-01
山东,415D4028900B9ACBCD4C4EA769CCD6DB,蔬菜,9ABEF08FA486088B478D942B2E25CBF6,\N,\N,\N,\N,0,6,0,2016-07-18 15:34:18,2014-12-02
新疆,C3773686A3E111FED783DA7966A7ECAF,蔬菜,D3C6766517C30755EC53D9A77D219F4A,\N,\N,\N,\N,15,16,17,2016-07-18 15:34:18,2016-01-12
新疆,C3773686A3E111FED783DA7966A7ECAF,蔬菜,D3C6766517C30755EC53D9A77D219F4A,\N,\N,\N,\N,15,16,17,2016-07-18 15:34:18,2016-01-14
新疆,C3773686A3E111FED783DA7966A7ECAF,蔬菜,D3C6766517C30755EC53D9A77D219F4A,\N,\N,\N,\N,15,16,17,2016-07-18 15:34:18,2016-01-15
新疆,C3773686A3E111FED783DA7966A7ECAF,蔬菜,D3C6766517C30755EC53D9A77D219F4A,\N,\N,\N,\N,15,16,17,2016-07-18 15:34:18,2016-01-18
天津,FBCEC38ABFEF9032473961A60D96FB68,蔬菜,3D24751164F3FDCE599624894D5D11EB,\N,\N,\N,\N,0,1.5,0,2016-07-18 15:34:18,2012-09-11
天津,FBCEC38ABFEF9032473961A60D96FB68,蔬菜,3D24751164F3FDCE599624894D5D11EB,\N,\N,\N,\N,0,1.5,0,2016-07-18 15:34:18,2013-07-05
