0,48,12,169,6.000000,2015-11-02,305,4
0,48,12,169,6.000000,2015-11-03,306,4
0,48,12,169,5.800000,2015-11-04,307,4
0,48,12,169,5.800000,2015-11-05,308,4
0,48,12,169,5.800000,2015-11-06,309,4
0,48,12,169,5.800000,2015-11-07,310,4
0,48,12,169,5.800000,2015-11-08,311,4
0,48,12,169,5.800000,2015-11-09,312,4
0,48,12,169,5.800000,2015-11-10,313,4
0,52,12,169,6.100000,2015-11-03,306,4
3,12,12,596,4.400000,2015-03-17,75,4
3,12,12,596,4.400000,2015-03-18,76,4
3,12,12,596,4.400000,2015-03-19,77,4
3,12,12,596,4.400000,2015-03-20,78,4
3,12,12,596,4.400000,2015-03-24,82,4
3,12,12,596,4.400000,2015-03-25,83,4
7,42,12,1675,9.000000,2015-05-11,130,4
7,42,12,1675,10.000000,2015-05-12,131,4
7,42,12,1675,9.000000,2015-05-13,132,4
7,42,12,1675,9.000000,2015-05-17,136,4
7,42,12,1675,9.000000,2015-05-18,137,4
13,38,12,920,6.500000,2012-03-24,83,1
13,38,12,920,3.500000,2012-03-26,85,1
13,38,12,920,4.000000,2012-03-27,86,1
13,38,12,920,4.000000,2012-03-28,87,1
13,38,12,920,4.200000,2012-03-29,88,1
13,38,12,920,2.800000,2012-03-30,89,1
13,38,12,920,5.500000,2012-03-31,90,1
13,38,12,920,4.500000,2012-04-01,91,1
13,38,12,920,1.900000,2012-04-06,96,1
0,52,12,169,6.500000,2015-11-02,306,4
